route,description,operator
837,North Chadderton School - Shaw,Go North West
838,Longdendale High School - Ridge Hill,Go North West
839,Waterhead Academy - Sholver,First Manchester
84,Manchester - Uppermill,Stagecoach Manchester
840,Harrytown High School - Reddish,Diamond
841,Hattersley - All Saints Catholic College,Go North West
842,Broadbottom - Longdendale High School,Go North West
843,Hazel Grove - Harrytown High School,Metroline Manchester
843,Harrytown HS - Hazel Grove,Diamond
844,Offerton - Marple Hall School,Metroline Manchester
845,Stockport - Harrytown High School,Metroline Manchester
846,Hyde - Longdendale High School,Go North West
847,Denton Community College - Hyde,Metroline Manchester
848,St Cuthberts RCHS - Littleborough,Stagecoach Manchester
849,Blue Coat School - Gee Cross,Go North West
85,Chorlton - Piccadilly,Metroline Manchester
850,Hollingworth Academy - Firgrove,First Manchester
851,Guide Bridge - Great Academy Ashton,Go North West
852,Cheadle Heath - Bramhall High School,Metroline Manchester
853,St James' High School - Heald Green,Diamond
854,Brinnington - Harrytown High School,Metroline Manchester
855,Adswood - Davenport - Bramhall High School,Metroline Manchester
856,Heald Green - Cheadle Hulme High School,Metroline Manchester
857,Shaw Heath - St James' Catholic High School,Metroline Manchester
858,Hall Street - Hazel Grove High School,Metroline Manchester
859,Hazel Grove HS - High Ln,Diamond
85A,Chorlton - Manchester,Metroline Manchester
86,Chorlton - Manchester,Metroline Manchester
860,Cheadle Hulme High School - Adswood,Go North West
861,Waterhead Academy - Glodwick,Stagecoach Manchester
862,St Cuthberts RCHS - Syke Chapel,First Manchester
863,Stockport - Cheadle Hulme High School,Metroline Manchester
864,Droylsden - St Damian's RC Science College,Metroline Manchester
865,Waterhead Academy - Oldham,First Manchester
866,Lauras Cheadle Hulme - Stockport,Metroline Manchester
867,St Cuthbert's RC High School - Birch Hill,Stagecoach Manchester
868,Alder Community HS - Hattersley,Diamond
87,Manchester - Withington - Merseybank - Chorlton Gr,Diamond
870,Ridge Hill - Mossley Hollins HS/St Damian's,Go North West
870,St Damian's RC Science College - Stalybridge,Metroline Manchester
870,St Damian's RC Science Clg - Stalybridge Bus Stn,Metroline Manchester
871,Hattersley - Alder Community High School,Go North West
874,Cheadle Heath - Hazel Grove High School,Metroline Manchester
875,Radclyffe School - Moston,Stagecoach Manchester
876,Bramhall High School - Offerton - Hazel Grove,Go North West
877,Edgeley - Bramhall High School,Metroline Manchester
879,Sholver - Royton & Crompton School,Stagecoach Manchester
88,Altrincham - Wilmslow - Knutsford - Macclesfield,[DAGC] D&G Bus
88,Altrincham - Wilmslow - Mobberley - Knutsford,[DAGC] D&G Bus
880,St Cuthbert's School - Norden,First Manchester
881,Oulder Hill HS - Castleton,First Manchester
882,Tottington High School - Walmersley,Go North West
883,Tottington High School - Starling - Ainsworth - Ha,Go North West
884,Tottington High School - Stopes Road,Go North West
885,Tottington High School - Radcliffe,Go North West
886,Tottington High School - Redvales,Go North West
887,St Cuthbert's RC High School - Lane Head,Stagecoach Manchester
888,Bury C of E High School - Bradley Fold,Stagecoach Manchester
889,Unsworth Academy - Stoneclough,Stagecoach Manchester
890,Unsworth Academy - Bradley Fold,Stagecoach Manchester
891,Stockport - Poynton High School,[BEVC] Belle Vue
891,St Cuthbert's RC High School - Littleborough,Stagecoach Manchester
892,Kingsway Park HS - Low Hill,Stagecoach Manchester
893,Blue Coat School - Alkrington,Stagecoach Manchester
894,St Monica's - Bradley Fold,First Manchester
895,St Monica's - Ainsworth,First Manchester
896,Elton High School - Radcliffe,Stagecoach Manchester
